PHRASES,RAGAM
Sa Ri Sa Ri Ga Ga Ga Ga Ga Pa Ga Ri Ga Ga Ga Ga Ga Pa Ga Pa Ga Pa Ga Ri Ga Ri Da Pa Ga Ri Sa -,MOHANAM
Sa Ri Ga Ri Ga Ga Ga Ga Ga Pa Ga Ri Ga Ga Ga Ga Ga Pa Da Sa' Da Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Sa - Sa Ri - Ri Ga Ga Ga Pa Ga Ri Ga Ga Ga Ga Ga Pa Da Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Sa - Sa Ri - Ri Ga Ga Ga Pa Ga Pa Ga Ga Ga Ga Ga Pa Da Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Sa Sa Sa Ri Ri Ri Ga Ga Ga Pa Ga Ri Ga Ga Ga Ga Ga Pa Da Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Sa Sa Sa Ri Ri Ri Ga Ga Ga Pa Ga Ri Ga Ga Ga Ga Ga Pa Da Pa Ga Pa Ga Ri Pa Ga Ri Ga Ri Ga Ri Sa -,MOHANAM
Ga Ri Ga Da Ga Ga Ga Ga Ga Pa Ga Ri Ga Ga Ga Ga Ga Pa Ga Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Ga Ri Sa Ri Ga Ga Ga Ga Ga Pa Da Pa Ga Ri Ga Pa Ga Pa Ga Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Ga Ri Ga Pa Ga Ri Sa Ri Ga Pa Da Ri Ga Ga Ga Ga Ga Pa Ga Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Ga Ri Sa Ri Ga Pa Ga Ri Ga Pa Ga Ri Ga Pa Da Pa Ga Pa Ga Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
